#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         710     2.18773     2.18611 0.000959715
         711     2.18462     2.18611 0.000958368
         712     2.18033      2.1861 0.000957056
         713     2.17468     2.18608 0.000955848
         714     2.16756     2.18606 0.000954861
         715     2.15963     2.18602  0.00095424
         716      2.1528     2.18597 0.000954035
         717     2.14933     2.18592 0.000954072
         718     2.14957     2.18587 0.000954085
         719     2.15147     2.18582 0.000953957
         720     2.15258     2.18578 0.000953749
         721     2.15166     2.18573 0.000953599
         722     2.14907     2.18568 0.000953629
         723     2.14663     2.18563 0.000953838
         724     2.14668     2.18557 0.000954036
         725        2.15     2.18552 0.000953981
         726     2.15506     2.18548 0.000953589
         727     2.15978     2.18545 0.000952932
         728     2.16309     2.18541 0.000952118
