#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         722     20.2181     22.9018    0.128057
         723     20.2944     22.8982    0.127931
         724     20.3211     22.8947    0.127803
         725     20.3232     22.8911    0.127676
         726     20.3232     22.8876     0.12755
         727      20.328     22.8841    0.127423
         728     20.3305     22.8806    0.127296
         729      20.319     22.8771     0.12717
         730     20.2836     22.8735    0.127045
         731     20.2178     22.8699    0.126923
         732     20.1234     22.8661    0.126805
         733     20.0256     22.8622    0.126692
         734     19.9706     22.8583     0.12658
         735     19.9733     22.8544    0.126469
         736     19.9753     22.8505    0.126357
         737      19.911     22.8465    0.126249
         738      19.804     22.8424    0.126145
         739      19.757     22.8382    0.126044
         740     19.8071     22.8341     0.12594
         741     19.8796     22.8301    0.125833
         742     19.9171     22.8262    0.125725
         743     19.9288     22.8223    0.125616
         744     19.9425     22.8184    0.125507
         745      19.968     22.8146    0.125396
         746     19.9963     22.8108    0.125285
         747     20.0145     22.8071    0.125173
         748     20.0151     22.8033    0.125062
         749     19.9979     22.7996    0.124951
         750     19.9685     22.7958    0.124841
         751     19.9358      22.792    0.124733
         752     19.9085     22.7882    0.124626
         753     19.8909     22.7843     0.12452
         754     19.8807     22.7805    0.124414
         755     19.8724     22.7766    0.124309
         756     19.8626     22.7727    0.124204
         757     19.8534     22.7689      0.1241
         758     19.8501      22.765    0.123996
         759     19.8552     22.7612    0.123892
         760     19.8637     22.7574    0.123788
         761     19.8643     22.7536    0.123683
         762     19.8431     22.7498     0.12358
         763     19.7879     22.7459    0.123479
         764     19.6924     22.7419    0.123382
         765     19.5626     22.7377    0.123291
         766     19.4235     22.7334    0.123206
         767      19.319      22.729    0.123126
         768     19.2969     22.7245    0.123046
         769     19.3704     22.7201    0.122964
         770     19.5004      22.716    0.122875
         771     19.6331      22.712    0.122781
         772     19.7382     22.7081    0.122682
         773     19.8103     22.7044    0.122581
